business_id,attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,categories,latitude,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.Payment Types.mastercard,attributes.Parking.lot,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,attributes.Payment Types.amex,name,hours.Monday.open,attributes.Waiter Service,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Good For Kids,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Payment Types.cash_only,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Payment Types.discover,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Payment Types.visa,type,attributes.Caters,attributes.Ambience.intimate,attributes.Music.playlist,attributes.Good For.latenight,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.By Appointment Only,attributes.Dietary Restrictions.kosher,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Hair Types Specialized In.perms,attributes.Music.jukebox,attributes.Ambience.upscale
vcNAWiLM4dR7D2nwwJ7nCA,,,,8:00,,,,,8:00,Doctors;Health & Medical,33.499313,,,,,,,,8:00,,,"Eric Goldberg, MD",8:00,,,,,,,,,,,,,,7,,AZ,,17:00,,,,,"4840 E Indian School Rd
Ste 101
Phoenix, AZ 85018",17:00,,,,,,,,,,,17:00,,TRUE,Phoenix,,,,3.5,,business,,,,,,,-111.983758,17:00,,17:00,,,,,,,,,,,TRUE,,,,,8:00,,,,,,,,,,,
JwUE5GmEO-sH1FuwJgKBlQ,FALSE,,,,,,,,,Restaurants,43.238893,FALSE,none,FALSE,,TRUE,FALSE,,,FALSE,,Pine Cone Restaurant,,TRUE,FALSE,FALSE,,,,,,1,FALSE,FALSE,,,26,,WI,TRUE,,TRUE,,FALSE,TRUE,"6162 US Highway 51
De Forest, WI 53532",,,,FALSE,,,FALSE,,,FALSE,FALSE,,,TRUE,De Forest,,,,4,,business,FALSE,FALSE,,FALSE,FALSE,,-89.335844,,,,,TRUE,FALSE,,,,,TRUE,,FALSE,,,,,,,average,,casual,,TRUE,,,FALSE,,,FALSE
uGykseHzyS5xAMWoN6YUqA,FALSE,,,6:00,,,,,6:00,American (Traditional);Restaurants,43.252267,FALSE,,FALSE,,TRUE,FALSE,,6:00,TRUE,,Deforest Family Restaurant,6:00,TRUE,FALSE,FALSE,,,,,,1,FALSE,FALSE,,,16,,WI,TRUE,22:00,FALSE,,FALSE,TRUE,"505 W North St
De Forest, WI 53532",22:00,,,FALSE,,,FALSE,6:00,,FALSE,FALSE,22:00,,TRUE,De Forest,,,,4,,business,FALSE,FALSE,,FALSE,FALSE,,-89.353437,22:00,,22:00,22:00,TRUE,FALSE,6:00,,,,TRUE,21:00,TRUE,,,,,,6:00,quiet,,casual,,TRUE,,,FALSE,,,FALSE
LRKJF43s9-3jG9Lgx4zODg,,,,10:30,,,,,10:30,Food;Ice Cream & Frozen Yogurt;Fast Food;Restaurants,43.251045,,,,,TRUE,,,10:30,,,Culver's,10:30,,FALSE,,,,,,,1,,FALSE,,,7,,WI,TRUE,22:00,,,FALSE,TRUE,"4910 County Rd V
De Forest, WI 53532",22:00,,,,,,FALSE,10:30,,,FALSE,22:00,free,TRUE,De Forest,,TRUE,,4.5,,business,,,,,,,-89.374983,22:00,,22:00,22:00,,FALSE,10:30,,,,,22:00,,,,,,,10:30,,,casual,,TRUE,,,,,,
RgDg-k9S5YD_BaxMckifkg,,,,11:00,,,,,11:00,Chinese;Restaurants,43.2408748,FALSE,,,,,,,11:00,,,Chang Jiang Chinese Kitchen,11:00,,,,,,,,,,,,,,3,,WI,,22:30,,,,TRUE,"631 S Main St
De Forest, WI 53532",22:00,,,,,,,11:00,,,,22:00,,TRUE,De Forest,,,,4,,business,,,,,,,-89.3437217,22:00,,22:00,22:30,,,16:00,,,,FALSE,21:00,,,,,,,11:00,,,casual,,,,,,,,
oLctHIA1AxmsgOuu4dM6Vw,,,,,,,,,,Television Stations;Mass Media,42.9685074,,,,,,,,,,,Charter Communications,,,,,,,,,,,,,,,10,,WI,,,,,,,"4156 County Rd B
Mc Farland, WI 53558",,,,,,,,,,,,,,FALSE,Mc Farland,,,,1.5,,business,,,,,,,-89.3229199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZW2WeP2Hp20tq0RG1NFkoQ,,,,,,,,,,Home Services;Heating & Air Conditioning/HVAC,43.0303561,,,,,,,,,,,Air Quality Systems,,,,,,,,,,,,,,,4,,WI,,,,,,,"4709 Triangle St
Mc Farland, WI 53558",,,,,,,,,,,,,,TRUE,Mc Farland,,,,2,,business,,,,,,,-89.2985442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95p9Xg358BezJyk1wqzzyg,,,,9:00,,,,,9:00,Libraries;Public Services & Government,43.014093,,,,,,,,9:00,,,McFarland Public Library,9:00,,,,,,,,,,,,,,4,,WI,,17:30,,,,,"5114 Farwell St
Mc Farland, WI 53558",20:00,,,,,,,9:00,,,,20:00,free,TRUE,Mc Farland,,,,2.5,,business,,,,,,,-89.294175,20:00,,20:00,17:30,,,12:00,,,,,15:00,,,,,,,9:00,,,,,,,,,,,
rdAdANPNOcvUtoFgcaY9KA,TRUE,,,6:00,,,,,6:00,American (Traditional);Restaurants,43.0256436,FALSE,full_bar,FALSE,,TRUE,FALSE,,6:00,FALSE,,Green Lantern Restaurant,6:00,TRUE,FALSE,FALSE,,,,,,2,FALSE,FALSE,,,33,,WI,TRUE,2:00,FALSE,,FALSE,TRUE,"4412 Siggelkow Rd
Mc Farland, WI 53558",2:00,,,FALSE,,,TRUE,7:00,,FALSE,FALSE,2:00,free,TRUE,Mc Farland,,TRUE,,3.5,,business,,FALSE,,FALSE,TRUE,,-89.3061344,2:00,,2:00,2:00,TRUE,FALSE,7:00,,,,TRUE,2:00,FALSE,,,FALSE,,,6:00,average,,casual,,TRUE,,,FALSE,,,FALSE
ZlhAvs_6ryi4_efZ1SpMbg,,,,7:30,,,,,7:30,Veterinarians;Pets,43.017124,,,,,,,,7:30,,,Spartan Animal Hospital,7:30,,,,,,,,,,,,,,3,,WI,,18:00,,,,,"4811 Larson Beach Rd
Mc Farland, WI 53558",18:00,,,,,,,8:00,,,,18:00,,TRUE,Mc Farland,,,,4.5,,business,,,,,,,-89.299119,18:00,,18:00,12:00,,,,,,,,,,,,,,,7:30,,,,,,,,,,,
